PassengerId,Pclass,Sex,SibSp,Parch,Cabin,Embarked,Title,GrpSize,FareCat,AgeCat
892,3,male,0,0,,Q,Mr,solo,0-10,
893,3,female,1,0,,S,Mrs,couple,0-10,32-48
894,2,male,0,0,,Q,Mr,solo,0-10,
895,3,male,0,0,,S,Mr,solo,0-10,32-48
896,3,female,1,1,,S,Mrs,group,10-25,32-48
897,3,male,0,0,,S,Mr,solo,0-10,32-48
898,3,female,0,0,,Q,Miss,solo,0-10,16-32
899,2,male,1,1,,S,Mr,group,25-40,48-64
900,3,female,0,0,,C,Mrs,solo,0-10,0-16
901,3,male,2,0,,S,Mr,group,10-25,0-16
902,3,male,0,0,,S,Mr,solo,0-10,0-16
903,1,male,0,0,,S,Mr,solo,25-40,
904,1,female,1,0,B45,S,Mrs,couple,70-100,16-32
1179,1,male,1,0,B45,S,Mr,couple,70-100,0-16
905,2,male,1,0,,S,Mr,couple,25-40,0-16
1105,2,female,1,0,,S,Mrs,couple,25-40,0-16
906,1,female,1,0,E31,S,Mrs,couple,40-70,32-48
907,2,female,1,0,,C,Mrs,couple,25-40,0-16
908,2,male,0,0,,Q,Mr,solo,10-25,
909,3,male,0,0,,C,Mr,solo,0-10,48-64
910,3,female,1,0,,S,Miss,couple,0-10,16-32
911,3,female,0,0,,C,Mrs,solo,0-10,32-48
912,1,male,1,0,,C,Mr,couple,40-70,0-16
913,3,male,0,1,,S,Master,couple,0-10,0-16
914,1,female,0,0,,S,Mrs,solo,25-40,0-16
915,1,male,0,1,,C,Mr,couple,40-70,32-48
916,1,female,1,3,B57 B59 B63 B66,C,Mrs,large group,100+,0-16
951,1,female,0,0,B61,C,Miss,large group,100+,0-16
956,1,male,2,2,B57 B59 B63 B66,C,Master,large group,100+,0-16
1034,1,male,1,3,B57 B59 B63 B66,C,Mr,large group,100+,48-64
1267,1,female,0,0,,C,Miss,large group,100+,0-16
917,3,male,1,0,,S,Mr,couple,10-25,0-16
918,1,female,0,1,B36,C,Miss,couple,40-70,0-16
919,3,male,0,0,,C,Mr,solo,0-10,0-16
920,1,male,0,0,A21,S,Mr,solo,25-40,32-48
921,3,male,2,0,,C,Mr,group,10-25,16-32
1189,3,male,2,0,,C,Mr,group,10-25,16-32
922,2,male,1,0,,S,Mr,couple,25-40,
923,2,male,2,0,,S,Mr,group,25-40,32-48
1211,2,male,2,0,,S,Mr,group,25-40,0-16
1230,2,male,0,0,,S,Mr,group,25-40,32-48
924,3,female,1,2,,S,Mrs,group,10-25,0-16
1246,3,female,1,2,,S,Miss,group,10-25,16-32
925,3,female,1,2,,S,Mrs,group,10-25,32-48
1136,3,male,1,2,,S,Master,group,10-25,0-16
926,1,male,1,0,C78,C,Mr,couple,40-70,0-16
1014,1,female,1,0,C28,C,Mrs,couple,40-70,0-16
927,3,male,0,0,,C,Mr,solo,0-10,16-32
928,3,female,0,0,,S,Miss,solo,0-10,16-32
929,3,female,0,0,,S,Miss,solo,0-10,16-32
930,3,male,0,0,,S,Mr,solo,0-10,16-32
931,3,male,0,0,,S,Mr,solo,40-70,48-64
932,3,male,0,1,,C,Mr,couple,10-25,
933,1,male,0,0,D34,S,Mr,solo,25-40,
934,3,male,0,0,,S,Mr,solo,0-10,32-48
935,2,female,0,0,,S,Mrs,solo,10-25,32-48
936,1,female,1,0,D19,S,Mrs,couple,40-70,48-64
937,3,male,0,0,,S,Mr,solo,0-10,16-32
938,1,male,0,0,A9,C,Mr,solo,25-40,64+
939,3,male,0,0,,Q,Mr,solo,0-10,16-32
940,1,female,0,0,D15,C,Mrs,solo,70-100,
941,3,female,0,2,,S,Mrs,group,10-25,32-48
942,1,male,1,0,C31,S,Mr,couple,40-70,32-48
1287,1,female,1,0,C31,S,Mrs,couple,40-70,16-32
943,2,male,0,0,,C,Mr,solo,10-25,16-32
944,2,female,2,1,,S,Miss,group,10-25,16-32
945,1,female,3,2,C23 C25 C27,S,Miss,large group,100+,0-16
961,1,female,1,4,C23 C25 C27,S,Mrs,large group,100+,0-16
946,2,male,0,0,,C,Mr,solo,10-25,0-16
947,3,male,4,1,,Q,Master,large group,25-40,32-48
948,3,male,0,0,,S,Mr,solo,0-10,
949,3,male,0,0,F G63,S,Mr,solo,0-10,16-32
950,3,male,1,0,,S,Mr,couple,10-25,16-32
952,3,male,0,0,,S,Mr,solo,0-10,0-16
953,2,male,0,0,,S,Mr,solo,10-25,16-32
954,3,male,0,0,,S,Mr,solo,0-10,16-32
955,3,female,0,0,,Q,Miss,solo,0-10,16-32
957,2,female,0,0,,S,Mrs,couple,10-25,16-32
1138,2,female,0,0,,S,Mrs,couple,10-25,16-32
958,3,female,0,0,,Q,Miss,solo,0-10,16-32
959,1,male,0,0,,S,Mr,solo,40-70,
960,1,male,0,0,C53,C,Mr,solo,25-40,16-32
962,3,female,0,0,,Q,Miss,solo,0-10,16-32
963,3,male,0,0,,S,Mr,solo,0-10,0-16
964,3,female,0,0,,S,Miss,solo,0-10,0-16
965,1,male,0,0,D43,C,Mr,solo,25-40,0-16
966,1,female,0,0,C130,C,Miss,group,100+,32-48
967,1,male,0,0,C132,C,Mr,group,100+,0-16
1110,1,female,1,1,C80,C,Mrs,group,100+,0-16
1299,1,male,1,1,C80,C,Mr,group,100+,
968,3,male,0,0,,S,Mr,solo,0-10,48-64
969,1,female,2,0,C101,S,Mrs,group,25-40,
970,2,male,0,0,,S,Mr,solo,10-25,16-32
971,3,female,0,0,,Q,Miss,solo,0-10,16-32
972,3,male,1,1,,C,Master,group,10-25,64+
973,1,male,1,0,C55 C57,S,Mr,group,100+,
1006,1,female,1,0,C55 C57,S,Mrs,group,100+,
1048,1,female,0,0,C97,S,Miss,group,100+,16-32
974,1,male,0,0,,S,Mr,solo,25-40,0-16
975,3,male,0,0,,S,Mr,solo,0-10,32-48
976,2,male,0,0,,Q,Mr,solo,10-25,32-48
977,3,male,1,0,,C,Mr,couple,10-25,0-16
1141,3,female,1,0,,C,Mrs,couple,10-25,0-16
978,3,female,0,0,,Q,Miss,solo,0-10,0-16
979,3,female,0,0,,S,Miss,solo,0-10,0-16
980,3,female,0,0,,Q,Rare Title,solo,0-10,
981,2,male,1,1,,S,Master,group,10-25,0-16
1154,2,female,0,2,,S,Mrs,group,10-25,16-32
982,3,female,1,0,,S,Mrs,couple,10-25,32-48
1064,3,male,1,0,,S,Mr,couple,10-25,48-64
983,3,male,0,0,,S,Mr,solo,0-10,32-48
984,1,female,1,2,B71,S,Mrs,group,40-70,32-48
985,3,male,0,0,,S,Mr,solo,0-10,0-16
986,1,male,0,0,,C,Mr,solo,25-40,32-48
987,3,male,0,0,,S,Mr,solo,0-10,32-48
988,1,female,1,0,C46,S,Mrs,couple,70-100,0-16
989,3,male,0,0,,S,Mr,solo,0-10,0-16
990,3,female,0,0,,S,Miss,solo,0-10,0-16
991,3,male,0,0,,S,Mr,solo,0-10,32-48
992,1,female,1,0,C116,C,Mrs,couple,40-70,0-16
